Geneid	ck18FL1	ck18FL2	ck18FL3	ck18FL4	ck18HL1	ck18HL2	ck18HL3	ck18HL4	ck18K1	ck18k2	ck18K3	ck18K4
gene15026	291	226	119	247	242	257	221	141	214	266	139	1118
gene15027	416	423	192	273	371	437	292	179	264	515	241	1318
gene15028	749	699	391	538	661	670	702	359	570	1333	678	2919
gene15029	55	15	15	18	48	49	41	25	45	31	24	94
gene15030	1861	1432	981	1272	1376	1032	1630	735	1058	1787	1392	5074
gene15031	1594	1434	617	985	1393	1201	1043	586	792	1449	782	3040
gene15032	772	477	401	593	585	342	539	298	415	598	558	1976
gene15033	2	8	2	1	3	11	5	3	2	10	3	21
gene15034	1564	1369	775	1132	1407	1523	1619	835	885	1779	1006	4645
gene15035	1134	878	495	740	452	553	746	266	542	946	726	2848
gene15036	0	0	0	0	0	0	0	0	0	0	0	0
gene15037	8845	9344	5820	8776	8611	7480	9490	5487	5538	10158	7037	33065
gene15038	3671	3535	1627	2335	2525	2779	2778	1299	1279	2734	1486	5978
gene15039	28	42	22	32	22	28	44	34	11	60	43	211
gene15040	0	1	1	0	0	0	0	0	0	0	1	0
gene15041	16	6	10	7	14	21	19	9	10	6	8	26
gene15042	134	69	27	51	95	76	64	32	25	64	20	138
gene15043	555	501	218	349	470	494	581	239	291	588	315	1443
gene15044	635	558	298	513	529	587	624	334	264	595	332	1561
gene15045	247	187	105	165	265	192	184	81	162	255	122	714
gene15046	45	34	30	33	21	17	39	21	28	31	27	127
gene15047	6	6	0	4	4	3	6	1	11	8	3	13
gene15048	2966	2619	1570	2214	2383	2289	2679	1424	1641	2944	1915	8202
gene15049	105824	97094	49873	70874	81394	82187	86515	45833	51861	110344	65137	273427
gene15050	1658	1428	608	971	1276	1498	1399	603	737	1558	760	3606
gene15051	4	6	7	7	10	9	14	3	12	18	7	60
gene15052	3659	2940	1575	2532	2354	2611	3014	1153	1790	3380	1980	9467
gene15053	15	11	11	15	13	13	22	3	10	9	13	34
gene15054	15564	13425	7782	11946	10997	10378	12803	6772	8458	15343	10340	45037
gene15055	54	49	16	30	49	75	51	16	26	100	15	123
gene15056	252	194	101	158	173	205	214	80	158	337	176	893
gene15057	3953	3458	1866	2894	3192	3045	3440	1660	1548	3088	2115	9262
gene15058	64	43	37	27	60	42	56	21	31	26	21	95
gene15059	297	293	153	281	186	251	265	119	162	330	187	940
gene15060	919	600	370	638	499	401	573	346	883	1145	725	4583
gene15061	2472	1974	1092	1807	1942	1694	1921	1054	1272	2315	1452	6473
gene15062	2764	2363	1391	2097	2050	1747	2138	1220	1134	2275	1525	6388
gene15063	61	22	5	21	115	41	43	31	9	4	0	16
gene15064	323	241	152	228	268	232	284	148	203	323	245	926
gene15065	171	137	107	157	75	73	145	71	72	141	127	438
gene15066	290	246	157	179	212	197	287	99	181	307	201	725
gene15067	439	347	178	274	336	330	436	164	219	418	295	1169
gene15068	429	188	151	178	283	150	272	85	356	305	296	1057
gene15069	188	113	75	136	155	85	199	82	97	146	147	598
gene15070	1701	1452	791	1223	1427	1221	1477	758	692	1279	855	3323
gene15071	59	58	30	44	29	77	57	23	38	70	31	146
gene15072	372	269	171	281	287	228	249	144	179	300	175	775
gene15073	5144	4865	2697	3730	3872	4038	4614	2369	1526	3500	2520	8821
gene15074	0	0	0	0	0	0	0	0	0	0	0	0
gene15075	0	0	0	0	0	0	0	0	0	0	0	0
gene15076	178	163	74	125	116	110	126	52	96	150	64	378
gene15077	309	249	121	226	243	259	229	131	120	269	122	601
gene15078	112	111	52	76	99	79	95	30	47	76	39	129
gene15079	590	353	258	439	481	350	470	287	299	398	388	1857
gene15080	731	628	391	604	548	565	678	375	411	650	452	1882
gene15081	1640	1072	731	975	1392	1111	1340	704	566	915	627	2783
gene15082	850	501	362	504	642	407	626	330	562	575	480	2195
gene15083	1210	734	453	848	985	556	892	469	928	1147	960	4013
gene15084	2294	2322	1333	1875	1997	1940	2004	1189	1011	2267	1604	6056
gene15085	15	25	21	14	28	16	24	6	21	27	28	74
gene15086	173	115	67	78	166	195	139	69	64	106	68	260
gene15087	905	515	399	712	867	434	776	396	443	564	565	2314
gene15088	2174	1741	1208	1787	1936	1585	1927	1139	681	1390	992	4447
gene15089	1593	1320	462	694	1174	1236	901	426	793	1589	563	2526
gene15090	626	502	300	415	475	426	552	309	247	510	329	1362
gene15091	0	0	1	1	0	0	0	0	0	0	0	0
gene15092	545	470	221	309	458	423	358	214	250	532	269	1075
gene15093	2554	2142	1073	1626	1975	1842	1976	1022	1413	2660	1683	6866
gene15094	1997	1974	1112	1912	1800	2220	2293	1072	1010	2076	1189	5631
gene15095	974	788	362	538	774	724	714	312	403	822	444	1768
gene15096	0	0	0	0	0	0	0	0	0	0	0	0
gene15097	4	8	2	9	8	14	15	7	4	7	3	18
gene15098	10207	8802	5791	8275	8696	7434	8601	5213	4755	9166	6715	26439
gene15099	3884	3107	1416	2189	3335	2813	2449	1324	2022	3379	1762	8144
gene15100	15615	12172	7048	10787	12193	10320	11991	6765	7505	13891	8586	40410
gene15101	7530	6856	4071	6421	6198	5852	6406	3971	3164	6343	4085	18526
gene15102	105	132	62	88	98	140	107	60	48	122	39	312
gene15103	1363	1240	829	1195	1315	1096	1344	690	998	1773	1278	5428
gene15104	239	174	102	169	221	141	155	105	121	194	132	637
gene15105	2440	2673	1346	1942	2388	2608	2441	1507	768	1714	846	3820
gene15106	46	47	33	37	37	53	45	26	34	69	56	185
gene15107	5012	3498	1932	2853	3547	2433	2621	1717	2398	3620	2684	9990
gene15108	342	281	104	160	174	164	158	96	396	465	241	1134
gene15109	10	7	7	9	5	10	6	8	12	22	20	64
gene15110	1048	565	466	641	761	474	664	385	613	743	641	2463
gene15111	6872	5047	3291	5167	5376	3971	4508	2757	3846	5313	4262	17005
gene15112	349	321	197	300	292	274	301	146	177	325	207	976
gene15113	2428	1978	1123	1705	1593	1240	1346	874	2073	3096	2234	9110
gene15114	1813	1313	607	865	1003	938	1006	584	849	1282	847	3152
gene15115	0	0	0	0	0	0	0	0	0	0	0	0
gene15116	1050	806	472	748	894	685	936	445	727	1184	738	3485
gene15117	394	377	157	277	290	352	350	156	300	565	314	1357
gene15118	285	190	180	234	294	161	289	150	150	221	272	865
gene15119	1031	742	588	824	688	550	937	471	810	1320	1048	4344
gene15120	1	0	0	1	0	0	1	0	0	2	0	0
gene15121	1672	1465	631	993	1434	1196	1062	674	1079	1979	920	4150
gene15122	1766	1110	879	1345	1677	945	1402	837	712	1210	1036	4232
gene15123	1572	1287	796	1235	1398	1117	1305	830	670	1371	863	3906
gene15124	105	146	58	81	112	167	147	85	13	33	24	80
gene15125	0	0	0	0	2	1	0	0	0	0	0	0
