Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00014248	0	0	0	0	0	0	0	0	0	0	0
DNOV00014249	0	0	0	0	0	0	0	0	0	0	0
DNOV00014250	1	3	1	1	0	1	3	0	2	0	2
DNOV00014251	0	0	0	0	0	0	0	0	0	0	0
DNOV00014252	0	0	0	0	0	0	0	0	0	0	0
DNOV00014253	0	0	0	0	0	0	0	0	0	0	0
DNOV00014254	0	0	0	0	0	0	0	0	0	0	0
DNOV00014255	0	0	0	0	0	0	0	0	0	0	0
DNOV00014256	0	0	0	0	0	0	0	0	0	0	0
DNOV00014257	1	0	0	0	0	0	0	0	0	0	0
DNOV00014258	0	0	0	0	0	0	1	0	0	0	0
DNOV00014259	0	0	0	0	0	0	0	0	0	0	0
DNOV00014260	0	0	0	0	0	0	0	0	0	0	0
DNOV00014261	0	0	0	0	0	0	1	0	0	0	0
DNOV00014262	0	1	0	0	0	0	2	0	1	0	0
DNOV00014263	1	3	1	0	0	0	2	1	2	0	0
DNOV00014264	8190	11428	5936	6108	7629	4751	12298	9131	6277	5221	7046
DNOV00014265	214	316	143	133	168	105	357	257	170	120	191
DNOV00014266	1321	2041	995	766	856	488	2297	1669	1149	497	599
DNOV00014267	4	8	2	2	2	3	8	6	4	0	2
DNOV00014268	321	551	440	262	354	233	877	696	372	190	368
DNOV00014269	203	185	105	134	199	98	333	225	152	186	248
DNOV00014270	1	1	0	0	1	0	1	2	0	0	2
DNOV00014271	252	408	179	279	147	66	276	210	142	132	175
DNOV00017453	1585	1238	1630	1387	1053	1081	3190	1549	1928	1470	1569
DNOV00017454	740	945	523	398	532	392	1167	777	639	491	638
DNOV00017455	3658	4485	2453	2340	2411	1810	6082	3747	2920	2259	2634
DNOV00017456	3510	5174	2432	1909	3002	1665	6644	4661	3531	2668	3728
DNOV00016348	1537	1984	1054	1171	988	538	1655	1087	731	704	848
DNOV00016349	16688	25209	12087	9483	17255	9507	33228	22585	18418	13691	17222
DNOV00016350	89	115	81	69	43	20	109	63	45	43	50
DNOV00016351	130	95	156	195	95	125	270	127	191	106	133
DNOV00016352	10	1	4	2	2	0	2	2	2	1	0
DNOV00016353	11715	17324	8096	6677	10957	6684	20349	14416	11105	8188	12011
DNOV00016354	0	2	0	5	0	3	4	0	0	1	10
DNOV00016355	9224	2937	9531	8112	3078	5630	16625	6643	11028	10643	9058
DNOV00016202	17	18	18	18	25	16	56	45	18	11	17
DNOV00016203	19	22	13	8	8	5	20	15	13	11	18
DNOV00016204	1524	2055	1081	1028	1421	924	2015	1619	1085	880	1336
DNOV00016205	1933	1128	2149	1306	943	1321	2514	1559	1905	1376	1433
DNOV00016206	123	83	122	77	58	95	155	92	104	95	79
DNOV00016207	0	0	1	0	0	0	0	0	0	0	1
DNOV00016208	2	0	3	2	0	1	0	0	0	0	0
DNOV00016209	3311	4476	2451	1898	2492	1722	5931	3746	2996	2341	3033
DNOV00016210	1	0	0	0	1	0	0	0	0	0	0
DNOV00016211	71	78	38	31	40	30	120	76	64	27	39
DNOV00016212	2617	3818	1884	1613	2329	1468	4872	3265	2387	2071	2737
DNOV00016213	2269	2208	1685	1402	1319	1230	3679	1871	1836	1321	1501
DNOV00015824	531	867	456	540	505	240	805	672	411	344	458
DNOV00015825	531	715	413	417	419	253	765	527	365	312	402
DNOV00015826	2	0	1	3	0	0	1	0	2	0	1
DNOV00015827	0	0	1	1	0	1	2	0	0	2	2
DNOV00015828	11	10	6	4	7	2	12	17	1	0	21
DNOV00015829	7602	10503	5811	5033	6233	3888	15079	10110	7531	5694	7987
DNOV00015830	1	0	0	0	2	0	1	0	1	0	0
DNOV00015831	8	4	4	7	5	2	6	2	4	1	1
DNOV00015832	857	1132	570	567	732	506	1966	1256	892	726	907
DNOV00015833	64	80	58	61	43	21	145	83	54	59	75
DNOV00015163	4379	1660	4224	3997	1303	2246	6889	2094	3673	2775	2135
DNOV00015164	9494	11744	7319	6039	7862	5444	16633	11551	9452	7499	8749
DNOV00015165	2099	2216	1526	1267	1374	1042	3199	1975	1663	1389	1691
DNOV00015166	0	1	0	0	1	1	5	2	2	0	1
DNOV00015167	2133	3209	1550	1416	1675	869	3194	2286	1486	1173	1621
DNOV00015168	5	2	0	2	1	0	1	1	0	1	0
DNOV00015169	1	0	1	1	1	0	0	0	0	0	1
DNOV00015170	16	8	29	4	3	1	11	8	4	1	2
DNOV00015171	1148	1134	878	1020	541	324	1489	762	705	594	648
DNOV00015172	29	27	28	38	14	4	17	19	12	10	12
DNOV00015173	1	10	4	4	1	0	3	3	1	1	5
DNOV00015174	716	974	490	509	552	376	1364	953	725	500	727
DNOV00015175	1378	1704	978	1438	1234	913	2431	1527	1153	1059	1342
DNOV00015176	11	17	6	10	15	2	34	30	23	13	35
DNOV00017428	10	17	2	4	8	0	1	5	0	3	5
DNOV00017429	680	417	300	601	364	233	569	295	187	401	247
DNOV00017430	1765	2194	1158	1128	1445	990	2657	1719	1363	1234	1625
DNOV00017431	3271	4833	2016	1947	3062	1705	4695	2960	2147	1649	2397
DNOV00017432	6	2	6	6	3	6	8	2	3	1	4
DNOV00017138	743	1095	644	546	509	305	1031	758	564	422	612
DNOV00017139	78	76	53	33	45	20	68	59	42	20	36
DNOV00017140	1635	2610	1324	1525	1572	978	2842	2111	1447	1119	1452
DNOV00017141	0	0	0	0	0	0	0	0	1	0	0
DNOV00017142	1182	1672	856	784	1207	638	2024	1381	887	952	1073
DNOV00004194	3871	8773	2058	2287	4699	1606	4994	5256	2349	2158	3786
DNOV00004195	0	0	0	0	0	0	0	0	0	0	0
DNOV00004196	361	522	273	209	322	194	549	411	283	231	331
DNOV00004197	190	291	130	88	207	93	358	306	213	115	195
DNOV00004198	2656	3344	1687	1473	2025	1374	3612	2339	1962	1420	1734
DNOV00004199	7	4	2	1	1	2	5	0	2	2	2
DNOV00004200	104	147	66	52	77	28	102	77	58	44	63
DNOV00004201	24	23	14	13	20	9	35	21	19	11	12
DNOV00004202	9	6	4	1	7	0	15	7	6	5	0
DNOV00004203	42	40	82	17	17	15	68	54	32	27	15
DNOV00004204	918	1392	643	611	829	534	1552	1013	809	696	888
DNOV00004205	42	42	33	32	25	26	98	34	42	24	26
DNOV00004206	246	334	142	142	151	79	399	283	199	119	172
DNOV00004207	37	13	20	36	10	14	43	13	12	37	4
DNOV00004208	255	229	146	113	91	88	226	98	84	99	81
DNOV00004209	111	131	70	74	86	52	193	117	100	109	100
DNOV00004210	277	278	218	207	217	171	448	200	220	180	184
DNOV00004211	861	491	639	592	370	492	1558	447	813	760	416
DNOV00004212	1	3	1	2	0	0	1	0	0	0	0
DNOV00004213	34	30	27	26	12	8	59	21	25	22	26
DNOV00004214	515	608	353	326	400	313	759	438	353	343	366
DNOV00004215	1295	604	1017	1010	640	786	2017	667	1067	1017	660
DNOV00004216	502	167	459	371	252	351	535	208	427	277	407
DNOV00004217	933	1258	556	542	745	402	1315	841	600	548	686
DNOV00004218	278	291	159	163	51	83	360	53	122	106	36
DNOV00004219	123	82	74	56	39	48	205	76	79	49	53
DNOV00004220	6	7	2	4	5	3	10	8	7	2	5
DNOV00004221	1701	2033	1127	996	1272	927	2244	1393	1114	825	1098
DNOV00004222	1545	1996	1214	1023	1252	887	2179	1256	1112	842	1047
DNOV00004223	1565	1721	1052	762	1095	676	1798	1108	852	681	833
DNOV00004224	1958	1958	1004	1263	1379	820	2210	1277	816	780	1162
DNOV00004225	0	0	0	0	0	0	0	0	0	0	0
DNOV00004226	21	24	16	16	25	12	40	32	11	14	9
DNOV00004227	40	37	28	28	22	19	74	46	37	19	31
DNOV00004228	13	12	8	10	9	8	20	9	9	4	6
DNOV00004229	7	2	6	2	3	1	16	9	6	2	6
DNOV00004230	1155	1701	705	733	1093	662	2169	1536	1147	861	1207
DNOV00004231	868	1021	579	399	631	385	1361	926	719	522	674
DNOV00004232	1972	2974	1275	1220	2226	872	2483	2009	1223	1017	1463
DNOV00004233	271	378	134	140	230	95	349	199	147	124	164
DNOV00004234	660	795	462	460	500	304	790	527	438	403	357
