Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00000424	962	1262	686	779	792	492	1203	952	563	667	794
DNOV00000425	1343	1798	919	733	1048	664	2493	1862	1306	939	1366
DNOV00000426	492	1162	309	482	642	253	717	740	311	355	474
DNOV00000427	571	787	374	384	547	318	764	538	383	359	381
DNOV00000428	31	58	22	19	15	17	47	36	22	13	54
DNOV00000429	23	31	16	10	25	11	31	38	18	16	12
DNOV00000430	823	1264	512	475	754	437	1287	1051	666	497	675
DNOV00000431	15052	20109	11010	8717	10181	6584	23916	15075	11935	8968	10874
DNOV00000432	3	11	2	9	7	4	6	4	7	11	7
DNOV00000433	176	220	112	188	101	68	333	210	172	112	104
DNOV00000434	555	394	568	586	341	514	790	429	540	283	434
DNOV00000435	977	1267	713	626	783	559	1676	1162	874	715	1003
DNOV00000436	2739	3183	1913	1642	2085	1575	5216	3129	2522	1689	2148
DNOV00000437	5	8	5	4	3	1	4	0	1	4	0
DNOV00000438	1	0	0	0	0	1	0	0	0	2	2
DNOV00000439	0	0	0	0	0	1	1	0	0	0	0
DNOV00000440	3	3	4	3	4	0	6	4	1	1	3
DNOV00000441	166	204	125	123	129	89	159	154	96	107	129
DNOV00000442	58	67	47	50	72	58	43	49	37	26	50
DNOV00000443	1312	1422	1090	979	945	839	2534	1631	1451	1323	1323
DNOV00000444	3246	3647	2304	2212	2294	1730	5353	3598	2688	2305	2385
DNOV00000445	8	0	4	10	0	3	4	7	2	2	3
DNOV00000446	686	1120	548	603	805	443	1133	881	590	482	583
DNOV00000447	1456	1904	1076	828	1270	820	2143	1546	1241	898	1216
DNOV00000448	1210	1444	916	705	873	646	1981	1393	1075	850	1140
DNOV00000449	598	787	463	635	813	629	1041	669	510	531	577
DNOV00000450	816	880	598	605	628	468	986	589	515	492	561
DNOV00000451	1155	1615	775	591	855	502	1775	1207	902	726	958
DNOV00000452	1045	1250	718	667	865	593	1707	1165	894	692	890
DNOV00000453	2361	3777	1687	1343	2054	1154	4597	3505	2365	1975	2777
DNOV00000454	9	9	6	3	9	10	9	2	1	1	3
DNOV00000455	6805	9167	4645	4166	5509	3619	9559	5961	4867	3867	4850
DNOV00000456	2095	2811	1474	1137	1802	993	3145	2510	1778	1411	1939
DNOV00000457	424	628	300	217	310	234	606	416	294	231	307
DNOV00000458	26	13	14	12	42	14	28	24	19	4	17
DNOV00000459	0	1	0	0	0	0	0	0	0	0	0
DNOV00000460	1857	2423	1377	1394	1716	1353	4700	3216	2619	1852	2345
DNOV00000461	2680	3250	2045	1506	1909	1308	3892	2450	2036	1701	2018
DNOV00000462	0	0	3	0	0	0	2	0	0	0	0
DNOV00000463	0	0	0	0	0	0	0	0	0	0	0
DNOV00000464	0	1	0	0	0	0	0	0	0	0	0
DNOV00000465	0	1	0	0	0	1	0	0	0	0	0
DNOV00000466	0	0	0	0	0	0	0	0	0	0	0
DNOV00000467	0	0	0	0	0	0	0	0	0	0	0
DNOV00000468	0	0	0	0	0	0	0	0	0	0	0
DNOV00000469	0	0	0	0	0	0	0	0	0	0	0
DNOV00000470	0	0	0	0	0	0	0	0	1	0	0
DNOV00000471	384	661	294	251	357	180	839	645	457	331	490
DNOV00000472	573	721	484	384	433	319	891	568	458	350	380
DNOV00000473	465	611	364	468	479	363	972	602	481	483	494
DNOV00000474	0	1	0	0	0	0	0	0	0	0	0
DNOV00000475	5	11	4	1	7	1	12	7	5	10	3
DNOV00000476	2	3	1	0	1	0	0	1	1	2	2
DNOV00000477	72	87	63	42	46	35	220	101	79	77	76
DNOV00000478	1	6	2	1	4	0	1	11	2	1	5
DNOV00000479	611	959	545	502	640	373	1313	992	630	523	732
DNOV00000480	10	26	10	9	9	6	12	4	9	7	29
DNOV00000481	381	515	261	221	317	195	587	467	330	259	380
DNOV00000482	782	1035	623	563	615	431	1504	964	776	579	718
DNOV00000483	795	1169	566	883	706	552	1193	821	585	571	800
DNOV00000484	122	201	100	49	57	20	96	112	58	31	112
DNOV00000485	18	20	19	10	11	4	16	18	8	10	4
DNOV00000486	2	3	3	5	1	0	2	2	2	0	1
DNOV00000487	618	859	464	510	435	281	982	710	493	393	472
DNOV00000488	341	461	218	202	283	198	638	517	351	319	473
DNOV00000489	776	1032	547	485	664	429	1265	930	665	509	702
DNOV00000490	723	1014	513	487	699	435	1260	790	675	547	683
DNOV00000491	831	1029	694	657	718	524	1443	1042	782	624	882
DNOV00000492	280	238	288	191	164	210	460	201	265	224	287
DNOV00000493	0	0	0	0	0	0	0	0	0	0	0
DNOV00000494	287	333	232	150	156	148	491	292	234	142	131
DNOV00000495	524	465	515	603	331	263	841	467	434	297	377
DNOV00000496	454	493	462	259	223	195	656	342	371	270	206
DNOV00000497	858	1667	974	400	1094	438	1003	1448	575	426	343
DNOV00000498	906	1380	587	546	903	489	1378	1263	883	532	919
DNOV00000499	250	363	223	209	233	161	354	253	187	136	171
DNOV00000500	5691	7027	4323	3621	4184	3452	11303	6085	5316	3802	4797
DNOV00000501	365	367	249	212	209	215	556	283	259	228	276
DNOV00000502	1	0	0	0	0	0	0	0	0	0	0
DNOV00000503	8	0	5	4	1	6	7	3	6	3	2
DNOV00000504	581	436	352	462	389	409	835	441	410	306	382
DNOV00000505	1717	1915	1084	982	1171	796	2458	1639	1309	1073	1158
DNOV00000506	11276	14609	8393	7529	7958	5168	17284	10757	8476	6821	8899
DNOV00000507	1925	2761	1192	1185	1759	1178	3198	2054	1627	1236	1564
DNOV00000508	1235	1894	840	787	1219	704	2123	1534	1111	947	1347
DNOV00000509	422	326	269	191	268	199	581	381	283	116	196
DNOV00000510	0	0	0	0	0	0	0	0	0	0	0
DNOV00000511	0	1	0	0	0	0	2	0	0	0	0
DNOV00000512	11	7	2	3	5	5	4	8	2	1	12
DNOV00000513	760	1769	371	295	550	220	1027	1008	480	274	685
DNOV00000514	2107	1910	1281	1364	1450	1118	3133	1492	1460	984	1135
DNOV00000515	1142	1540	691	604	994	549	1549	1259	746	722	1004
DNOV00000516	111	175	82	91	125	59	203	134	93	85	115
DNOV00000517	1290	2008	725	788	1480	674	1590	1066	709	631	792
DNOV00000518	187	310	113	59	197	41	271	235	81	85	103
DNOV00000519	859	1446	597	563	839	490	1328	1046	638	491	692
DNOV00000520	4	2	3	1	4	1	12	4	2	2	0
DNOV00000521	73	50	25	45	62	40	129	105	52	42	80
DNOV00000522	24	21	21	18	18	24	34	19	11	8	10
DNOV00000523	2004	3226	1009	1140	2045	903	2476	2232	1218	904	1189
DNOV00000524	6	7	0	3	10	5	9	3	0	1	3
DNOV00000525	88	76	55	41	47	39	150	71	63	55	41
DNOV00000526	1487	1865	967	866	1166	775	2725	1757	1369	1154	1406
DNOV00000527	1272	1495	887	876	1074	697	2458	1464	1174	1067	1342
DNOV00000528	166	472	72	116	331	76	316	455	135	120	1071
DNOV00000529	14	20	21	18	29	20	54	33	26	24	22
DNOV00000530	2296	3420	1587	1388	2073	1130	4078	2802	2018	1566	2376
DNOV00000531	1276	2058	867	772	1401	735	1966	1328	932	837	1158
DNOV00000532	4055	5064	2467	2390	3070	2060	5815	3509	2777	2183	2384
DNOV00000533	1389	2141	843	698	1213	722	1910	1297	973	816	998
DNOV00000534	17	18	10	6	14	5	31	15	18	12	12
DNOV00000535	15	41	12	4	18	4	31	32	10	10	42
DNOV00000536	1482	2053	1001	806	1229	759	1928	1188	986	723	1036
DNOV00000537	29	15	9	11	15	6	18	7	8	8	11
DNOV00000538	1376	1775	905	894	1160	825	1700	1062	891	693	949
DNOV00000539	7574	10713	5150	4363	6548	3942	11239	8079	5686	4381	6015
DNOV00000540	846	905	647	570	646	493	1541	945	753	612	683
DNOV00000541	1208	1435	901	999	1104	777	2283	1321	1106	1127	1383
DNOV00000542	101	171	82	74	66	37	140	90	64	56	45
DNOV00000543	0	2	0	0	0	0	2	1	1	0	1
DNOV00000544	0	0	2	2	0	0	0	0	0	0	0
DNOV00000545	414	536	323	328	283	245	769	403	385	319	387
DNOV00000546	23874	30928	14594	13234	19370	11131	42561	28128	19790	16332	20381
DNOV00000547	1902	2824	1331	862	1467	949	3260	2129	1631	1337	1530
DNOV00000548	1068	1358	769	607	774	615	1398	912	734	459	728
DNOV00000549	8955	14503	6363	5182	9627	4548	15367	11189	8423	7331	9258
DNOV00000550	0	0	0	0	0	0	0	0	0	1	0
DNOV00000551	8	3	1	0	1	0	3	3	0	0	3
DNOV00000552	3839	5220	2437	2034	2982	1885	6025	4151	3060	2225	2861
DNOV00000553	1155	1811	748	703	1142	637	1779	1218	957	700	1000
DNOV00000554	1035	1784	512	544	902	452	1317	969	644	426	665
DNOV00000555	17	7	8	7	3	10	11	6	14	2	5
DNOV00000556	1662	2436	1055	841	1397	711	2852	2152	1459	1301	1815
DNOV00000557	1281	1658	880	713	926	689	2004	1260	1018	711	847
DNOV00000558	0	0	0	0	0	0	0	0	0	0	2
DNOV00000559	7	9	5	0	3	1	9	5	1	2	3
DNOV00000560	312	370	281	239	209	247	565	331	312	177	191
DNOV00000561	1	3	0	2	1	4	3	3	0	1	1
DNOV00000562	411	471	300	357	424	291	809	478	447	364	338
DNOV00000563	14	12	4	8	11	8	16	3	7	7	3
DNOV00000564	635	859	488	343	575	316	1441	890	781	660	772
DNOV00000565	96	126	83	55	74	63	175	122	108	64	93
DNOV00000566	80	92	49	55	62	32	136	78	72	52	71
DNOV00000567	1255	1499	1032	821	1017	877	1815	1196	1239	726	937
DNOV00000568	0	1	3	2	0	0	1	1	1	0	0
DNOV00000569	137	86	122	155	53	67	195	125	98	69	79
DNOV00000570	204	109	148	161	78	77	268	118	122	85	139
DNOV00000571	636	864	451	380	529	307	858	673	483	349	462
DNOV00000572	1255	875	1065	1021	719	769	2010	1106	1251	876	1128
DNOV00000573	178	183	161	238	147	126	305	158	161	150	177
DNOV00000574	1127	760	1038	1029	645	753	2325	1030	1160	1111	920
DNOV00000575	5842	5500	3854	3619	3392	3004	6565	3551	3464	2378	2855
DNOV00000576	171	266	39	78	117	53	117	116	60	64	64
DNOV00000577	0	0	0	0	0	0	0	0	0	0	0
DNOV00000578	13	2	2	1	0	0	5	6	0	0	0
DNOV00000579	439	227	422	434	234	376	801	342	494	192	233
DNOV00000580	1430	1428	1217	1285	1177	1184	2228	1669	1418	1035	1538
DNOV00000581	524	684	308	281	344	215	734	490	333	275	302
DNOV00000582	155	149	86	80	88	78	212	67	82	49	74
DNOV00000583	0	0	0	0	0	0	1	2	0	0	0
DNOV00000584	3	2	4	1	2	7	8	1	2	3	5
DNOV00000585	529	689	363	611	292	287	686	425	433	298	500
DNOV00014073	0	0	1	0	1	0	4	0	0	0	0
DNOV00014074	6	2	2	3	8	3	5	10	2	0	12
DNOV00014075	60	313	60	47	132	67	92	291	61	23	213
DNOV00014076	180	406	149	136	249	127	284	414	277	138	474
DNOV00014077	1401	2230	895	926	1533	854	2275	1557	1175	964	1456
DNOV00014078	663	688	512	496	460	413	996	567	544	415	507
DNOV00014079	309	429	233	179	268	188	710	394	327	276	385
DNOV00014080	165	224	117	73	146	57	493	384	244	160	231
DNOV00014081	134	260	110	98	157	75	263	185	161	76	189
DNOV00014082	742	1019	522	412	627	401	1081	619	548	361	562
DNOV00014083	50	36	47	35	10	18	64	27	28	20	9
DNOV00014084	1422	1597	938	913	1069	770	2093	1390	1180	886	1008
DNOV00014085	122	170	60	60	107	52	136	84	79	33	42
DNOV00014086	2851	3188	1979	1906	2295	1922	4679	2610	2479	1671	1899
DNOV00014087	36	25	12	15	19	13	37	26	26	7	16
DNOV00014088	0	0	0	0	0	0	0	0	0	0	0
DNOV00014089	8	1	6	8	1	2	11	13	7	14	16
DNOV00014090	354	442	244	269	267	161	559	342	230	249	333
DNOV00018740	620	947	455	450	599	391	928	748	480	444	584
DNOV00018959	4	3	3	11	2	2	6	3	3	2	3
DNOV00009932	27	53	49	31	50	16	21	65	12	9	34
DNOV00009933	54	61	23	23	25	10	60	24	26	40	34
DNOV00009934	314	380	159	153	264	99	604	440	185	342	408
DNOV00009935	2450	4071	1773	1012	1716	873	2915	2063	1534	2204	2696
DNOV00009936	3361	4463	2337	1999	3048	1755	5954	4311	3021	2677	4119
DNOV00009937	1377	2182	947	737	1195	573	2383	1791	1118	900	1297
DNOV00009938	962	1143	728	562	653	484	1749	1249	958	643	865
DNOV00009939	2299	2462	1364	998	1446	817	3750	2482	1597	1655	1815
DNOV00009940	214	119	72	115	125	80	294	147	114	107	90
DNOV00009941	932	492	265	481	499	309	1265	887	500	423	469
DNOV00009942	145	66	26	50	79	37	155	110	59	63	65
DNOV00009943	17	53	4	3	35	5	29	51	16	9	57
DNOV00009944	90	67	12	31	86	15	166	69	9	42	38
DNOV00009945	63	52	4	30	64	5	112	65	15	18	27
DNOV00009946	250	191	37	104	247	34	439	291	47	80	139
DNOV00009947	224	139	35	106	200	37	456	237	58	77	153
DNOV00009948	44	32	24	23	7	9	9	12	5	9	6
DNOV00009949	324	204	146	178	244	148	837	370	206	206	333
DNOV00009950	6	8	0	6	12	5	46	18	9	10	14
DNOV00009951	374	358	196	208	204	102	564	331	197	153	102
DNOV00009952	0	0	0	0	0	0	1	1	0	0	0
DNOV00009953	3224	3928	1697	1677	2855	1250	4906	3803	1995	2216	2391
DNOV00009954	36100	56187	21893	26233	48970	21715	66435	54661	33847	34917	55785
DNOV00009955	0	0	0	0	0	0	0	1	0	0	0
DNOV00009956	0	0	0	0	0	0	0	0	0	0	0
DNOV00009957	3	4	2	6	11	12	35	25	19	2	3
DNOV00009958	0	0	0	2	0	0	0	1	0	0	0
DNOV00009959	145	282	129	114	134	100	288	261	161	119	206
DNOV00009960	6	4	3	7	5	4	8	2	9	1	4
DNOV00009961	42	26	28	33	19	38	55	18	35	19	23
DNOV00009962	2285	2383	1810	1466	1625	1306	3562	2032	1871	1346	1267
DNOV00009963	1028	749	552	371	399	320	829	565	393	266	488
DNOV00009964	25	39	21	13	20	16	41	36	22	16	19
DNOV00009965	450	531	406	405	370	332	926	566	479	246	328
DNOV00019111	0	0	0	0	0	0	0	0	0	0	0
DNOV00017590	25	36	31	5	20	5	15	21	12	2	5
DNOV00017591	120	138	202	15	50	30	25	60	23	4	37
DNOV00017592	3	3	1	3	0	4	8	1	3	1	1
DNOV00017593	876	1670	624	443	860	390	1332	1125	672	666	1117
DNOV00017594	430	505	357	280	305	226	618	347	342	451	568
DNOV00017595	5	1	3	0	2	2	3	0	0	0	0
DNOV00017596	51	8	43	41	8	25	48	8	25	19	4
DNOV00017597	563	150	609	427	117	317	832	169	422	255	63
DNOV00018872	6	6	7	9	8	1	4	5	0	4	4
DNOV00015048	36	40	62	37	49	39	100	66	56	25	57
DNOV00015049	139	120	146	143	111	105	260	177	158	94	131
DNOV00015050	561	367	536	575	413	509	1167	644	758	585	680
DNOV00015051	59	62	65	42	16	18	56	43	26	25	22
DNOV00015052	849	788	689	541	417	502	1242	641	610	383	449
DNOV00015053	42	1	38	41	21	21	123	3	59	72	2
DNOV00015054	1228	1568	817	713	1003	613	2030	1367	1015	812	1089
DNOV00015055	17	34	3	3	16	12	16	7	12	3	9
DNOV00015056	1577	1587	905	994	1300	869	2182	1323	1126	856	1037
DNOV00015057	1	1	1	2	0	1	4	2	3	4	1
DNOV00015058	20	39	57	20	91	37	34	59	13	49	47
DNOV00015059	0	0	0	0	0	0	0	0	0	5	0
DNOV00015060	9190	16264	6330	5347	9643	4644	17906	14058	9252	7983	11885
DNOV00015061	58	81	50	44	50	40	219	136	88	49	74
DNOV00015062	510	397	342	239	317	222	510	394	279	217	287
DNOV00015063	633	713	445	375	446	345	1140	664	578	391	511
DNOV00015064	618	821	389	366	566	338	1110	690	535	438	609
DNOV00015065	9	5	1	3	4	2	2	2	0	2	1
DNOV00015066	380	140	235	188	99	118	351	161	185	143	93
DNOV00015067	40	14	21	26	9	8	39	11	14	14	3
DNOV00015068	12	7	2	5	1	2	9	3	3	1	0
DNOV00014346	27	17	37	10	6	9	86	38	19	7	6
DNOV00014347	266	386	152	164	212	101	784	639	424	151	194
DNOV00014348	0	2	4	1	1	1	6	3	3	1	1
DNOV00014349	18	11	13	8	9	15	42	15	21	5	8
DNOV00014350	414	549	293	275	364	272	1569	957	755	302	378
DNOV00014351	263	286	177	135	117	97	640	295	282	154	198
DNOV00014352	595	896	436	388	555	357	1449	1013	777	326	509
DNOV00014353	205	247	177	164	182	153	564	325	259	148	186
DNOV00014354	379	424	301	242	248	200	1118	659	565	242	254
DNOV00014355	38	28	26	22	20	17	124	65	45	17	18
DNOV00014356	0	0	0	0	0	0	0	0	0	0	0
DNOV00014357	0	0	0	0	0	0	0	0	0	0	0
DNOV00014358	877	1105	597	503	776	524	3453	2313	1771	686	946
DNOV00014359	762	812	476	403	616	409	1218	724	648	485	591
DNOV00014360	1182	1268	844	910	930	786	4079	2583	1959	893	891
DNOV00014361	281	284	220	151	194	144	1106	545	589	234	263
DNOV00014362	1	1	0	1	1	0	0	0	0	0	0
DNOV00014363	649	1016	467	401	637	332	2723	1780	1378	590	727
DNOV00014364	479	603	339	229	230	173	1098	751	606	284	361
DNOV00014365	10	17	10	9	5	6	18	16	14	3	3
DNOV00014366	512	506	404	319	368	273	780	420	392	184	212
DNOV00014367	12	46	3	4	18	2	28	46	4	12	5
DNOV00014368	764	1090	456	496	839	441	2825	2258	1509	546	872
DNOV00014369	1741	2417	1238	1077	1394	893	5805	3606	2878	1347	1493
DNOV00014370	1843	2682	1256	1026	1503	910	5243	3591	2947	1131	1494
DNOV00014371	1	2	0	0	2	0	3	0	0	0	1
DNOV00014372	1032	1087	705	633	714	638	2056	1131	1016	614	682
DNOV00014373	125	151	64	34	40	34	207	133	94	51	95
DNOV00014374	0	0	0	0	0	0	0	0	0	0	0
DNOV00018775	16	17	20	9	4	3	10	7	4	1	3
DNOV00019113	0	0	0	0	0	0	0	0	0	0	0
DNOV00018691	19	14	8	21	1	1	23	7	13	6	0
DNOV00009071	1062	855	884	942	351	359	1691	890	868	606	553
DNOV00009072	60	104	61	66	44	46	112	69	51	44	44
DNOV00009073	725	704	608	520	551	452	1038	741	628	392	666
DNOV00009074	57	65	58	32	55	45	45	60	32	43	53
DNOV00009075	578	716	372	381	446	310	875	586	504	255	317
DNOV00009076	0	0	0	0	0	0	1	0	0	0	0
DNOV00009077	52	43	32	14	33	29	83	52	49	21	26
DNOV00009078	5	10	0	1	2	4	4	2	0	0	3
DNOV00009079	36	41	8	7	20	7	81	70	14	7	23
DNOV00009080	0	0	1	0	1	1	0	0	0	0	2
DNOV00009081	0	0	0	0	0	0	0	0	0	0	0
DNOV00009082	0	0	0	0	0	1	0	0	0	0	0
DNOV00009083	0	0	0	0	0	0	0	0	0	0	0
DNOV00009084	2872	4489	1804	1949	3171	1487	4741	4104	2323	2520	3568
DNOV00009085	3993	5452	3007	2079	2945	1810	5701	4435	3138	2466	3072
DNOV00009086	1128	1749	701	788	978	521	1527	1319	811	759	1141
DNOV00009087	368	393	83	99	147	41	312	271	90	107	140
DNOV00009088	7	6	5	4	5	8	7	6	8	6	0
DNOV00009089	2	1	0	0	0	0	2	0	0	0	0
DNOV00009090	2	0	0	0	1	0	0	1	2	0	0
DNOV00009091	1	1	3	0	0	2	4	0	0	2	0
DNOV00009092	272	661	284	159	254	56	454	458	194	134	214
DNOV00009093	556	712	389	369	477	295	953	601	518	402	547
DNOV00009094	1295	1605	888	739	1055	706	2410	1488	1163	897	1171
DNOV00009095	7310	8600	5871	5694	4596	3333	12584	8053	5951	4587	4666
DNOV00009096	633	643	306	556	561	408	1102	562	388	324	348
DNOV00009097	12	9	8	13	4	8	10	6	10	3	3
DNOV00009098	54	48	45	40	28	23	68	34	38	31	27
DNOV00009099	2553	1838	1685	1610	1331	1151	3968	1955	1861	1415	1154
DNOV00009100	3	2	5	4	0	1	3	2	3	3	1
DNOV00009101	33	105	29	24	43	15	46	41	17	26	22
DNOV00009102	136	137	105	48	35	60	118	47	65	46	23
DNOV00009103	884	1219	552	485	718	487	1465	1076	871	540	806
DNOV00009104	639	792	478	367	498	451	1088	837	750	459	624
DNOV00009105	976	1829	642	549	774	291	902	1006	491	337	616
DNOV00009106	468	656	328	236	344	204	878	531	386	326	441
DNOV00009107	2186	3519	1546	1309	2042	1049	3479	2611	1822	1369	2009
DNOV00009108	1943	2422	1230	1213	1502	1040	3016	1730	1485	1264	1463
DNOV00009109	3001	3988	2097	1800	2448	1678	5010	3256	2469	1944	2680
DNOV00009110	0	1	0	4	0	2	0	2	0	3	0
DNOV00009111	152	136	71	61	66	39	77	68	69	37	68
DNOV00009112	1179	1740	703	693	1067	625	2093	1518	1134	906	1137
DNOV00009113	216	262	116	110	156	100	345	213	153	115	166
DNOV00009114	1695	2022	1195	1214	1367	977	2694	1870	1335	992	1342
DNOV00009115	205	258	176	164	200	167	425	252	162	141	110
DNOV00019059	0	0	0	0	0	0	0	0	0	0	0
DNOV00018652	192	285	183	243	174	93	321	199	150	119	159
DNOV00013156	1134	1420	486	397	895	298	1646	1481	662	483	967
DNOV00013157	61	102	61	33	56	45	66	43	51	15	19
DNOV00013158	2197	3477	2297	1060	2215	1457	3003	2525	2023	1062	1105
DNOV00013159	573	1034	489	446	547	425	579	362	378	276	330
DNOV00013160	2629	4042	2201	1702	2716	1806	2729	1818	1479	991	1450
DNOV00013161	1290	1606	903	713	925	685	1942	1246	994	767	879
DNOV00013162	4	0	0	12	1	3	19	0	2	22	2
DNOV00013163	12	3	5	16	8	10	44	3	4	15	3
DNOV00013164	67	12	16	87	18	34	161	12	45	103	16
DNOV00013165	766	709	546	524	476	408	1216	637	647	417	434
DNOV00013166	1852	3585	1109	1177	2194	960	3406	2673	1711	1290	2418
DNOV00013167	0	0	0	1	0	0	1	0	1	1	0
DNOV00013168	53	96	39	37	46	28	53	24	45	22	30
DNOV00013169	62	71	71	36	37	18	90	83	63	46	52
DNOV00013170	441	576	331	408	294	288	767	711	559	433	630
DNOV00013171	13	25	20	17	16	15	30	17	11	20	16
DNOV00013172	1490	2083	1087	976	1181	717	2665	1631	1342	1076	1415
DNOV00013173	1578	2093	990	874	1348	857	2260	1573	1154	871	1273
DNOV00013174	75	99	62	33	54	33	99	99	56	36	89
DNOV00013175	103	172	44	25	111	42	97	139	75	46	79
DNOV00013176	84	127	56	57	68	46	144	108	104	62	92
DNOV00013177	1491	2243	998	810	1373	772	2138	1863	1275	1021	1354
DNOV00013178	3151	3102	2317	2153	2323	2149	4881	2667	2433	1885	2348
DNOV00013179	139	124	104	89	100	75	202	105	95	67	99
DNOV00013180	8	16	5	8	11	10	13	6	13	11	12
DNOV00013181	252	165	248	188	106	109	274	205	140	76	130
DNOV00013182	3588	4868	2409	2110	3006	1882	5691	3558	2942	2312	3024
DNOV00013183	40	48	39	31	34	30	30	26	17	26	34
DNOV00019002	0	4	0	0	3	0	0	4	0	0	1
DNOV00011593	129	194	104	58	59	48	112	62	54	41	31
DNOV00011594	5	10	1	0	2	2	2	0	3	1	0
DNOV00011595	1	0	1	0	0	0	1	0	1	0	0
DNOV00011596	136	100	132	118	97	98	246	121	171	109	154
DNOV00011597	9	2	13	2	3	4	8	2	5	0	4
DNOV00011598	631	636	363	325	428	340	1140	709	600	450	540
DNOV00011599	391	458	257	245	275	194	383	210	192	142	184
DNOV00011600	508	623	329	287	414	310	978	755	515	398	537
DNOV00011601	920	1088	700	596	733	519	1671	1120	900	709	947
DNOV00011602	4	7	1	4	4	1	5	0	2	2	4
DNOV00011603	89	76	82	39	48	51	49	35	21	35	49
DNOV00011604	7	7	10	8	8	2	11	5	10	3	2
DNOV00011605	5416	7807	3762	3099	4274	2387	8556	6083	4101	3358	4269
DNOV00011606	1471	2028	1135	845	1282	717	2783	1966	1423	821	1236
DNOV00011607	527	720	423	263	409	254	715	425	418	297	340
DNOV00011608	1059	1232	738	608	743	501	1198	807	732	389	442
DNOV00011609	12	9	48	19	3	4	19	2	2	15	8
DNOV00011610	888	1655	624	449	659	414	1491	868	622	501	392
DNOV00011611	106	101	123	40	64	49	152	84	94	40	43
DNOV00011612	3672	5037	2895	2295	3231	2291	5614	3701	3331	2497	3380
DNOV00011613	2270	2863	1215	1036	1959	992	2708	2316	1473	1001	1559
DNOV00011614	18	14	4	4	16	6	11	10	5	4	2
DNOV00011615	2365	3089	1249	1110	1874	917	2462	1773	1095	1105	1470
DNOV00011616	156	171	157	82	100	86	289	143	155	108	133
DNOV00011617	694	1369	710	603	737	456	1177	1135	841	498	816
DNOV00011618	1743	3371	1769	1358	1832	1297	2747	2535	1973	1209	1877
DNOV00011619	190	401	73	115	296	114	327	370	210	117	159
DNOV00011620	0	0	0	2	0	0	0	0	0	0	0
DNOV00011621	198	224	148	123	161	134	400	247	206	129	187
DNOV00011622	0	5	2	0	14	0	2	6	1	1	8
DNOV00018745	573	1010	442	563	426	203	807	678	389	331	444
DNOV00013850	0	0	0	0	0	0	0	0	0	0	0
DNOV00013851	16	13	5	5	9	2	18	14	3	48	32
DNOV00013852	21	16	15	24	2	9	39	3	21	10	17
DNOV00013853	0	0	1	0	0	1	1	3	4	0	3
DNOV00013854	2	0	1	0	0	3	3	1	1	0	2
DNOV00013855	3097	2464	2367	2014	2077	2138	5297	2576	2925	1901	2019
DNOV00013856	975	374	397	573	256	230	972	264	285	481	175
DNOV00013857	1412	1432	900	930	958	807	2159	1116	959	994	916
DNOV00013858	1999	3910	1171	1400	3333	1366	4103	4325	2582	1958	4492
DNOV00013859	1176	1340	560	708	1022	564	1286	1079	659	491	775
DNOV00013860	34	75	13	8	17	9	30	19	10	7	4
DNOV00013861	4	8	0	0	3	0	0	4	1	0	0
DNOV00013862	7	7	1	4	4	0	2	1	1	1	2
DNOV00013863	22	18	12	10	9	6	17	13	15	8	11
DNOV00013864	343	598	158	121	232	93	343	489	181	102	281
DNOV00013865	156	268	153	147	140	101	323	194	148	111	195
DNOV00013866	552	721	423	372	411	317	876	566	431	349	484
DNOV00013867	6601	8532	4567	3814	5329	3788	10999	6763	5448	4072	5719
DNOV00013868	149	214	122	82	120	67	204	153	82	77	70
DNOV00013869	88	81	55	71	78	52	199	157	125	86	94
DNOV00013870	127	181	120	96	248	138	285	412	274	129	185
DNOV00013871	466	561	301	282	400	262	783	539	383	378	462
DNOV00013872	94	32	75	158	30	42	167	69	91	91	70
DNOV00013873	1121	1155	685	653	709	449	1372	789	618	552	542
DNOV00013874	2019	3067	1376	1093	1781	994	2830	2036	1457	1101	1609
DNOV00013875	900	2226	517	562	1128	264	960	1234	419	274	707
DNOV00013876	1594	2227	1212	978	1428	875	1848	1205	1032	754	957
DNOV00013877	430	515	272	260	325	217	562	321	281	202	281
DNOV00013878	2	2	1	0	0	0	0	1	2	0	0
DNOV00013879	0	1	2	0	1	1	0	1	2	1	0
DNOV00018950	33	32	45	53	28	22	80	48	41	34	41
DNOV00012470	435	681	239	176	267	104	449	525	127	150	243
DNOV00012471	726	726	422	407	503	410	758	497	406	211	285
DNOV00012472	1491	2034	1042	1028	1166	748	3222	2152	1651	1348	1621
DNOV00012473	2448	3296	1622	1664	2044	1419	4475	2662	2264	1876	2151
DNOV00012474	4	4	5	3	6	1	10	1	4	5	1
DNOV00012475	0	0	0	0	1	0	0	0	0	0	4
DNOV00012476	11	22	6	17	17	7	27	9	17	8	13
DNOV00012477	867	1012	740	632	672	525	1417	812	747	569	622
DNOV00012478	2207	2245	1811	1736	1259	1484	4884	1819	2359	1939	1213
DNOV00012479	0	0	0	0	0	0	0	0	0	0	0
DNOV00012480	0	0	0	0	0	0	0	0	0	0	0
DNOV00012481	1404	1940	1100	821	1280	810	2332	1602	1252	966	1272
DNOV00012482	806	1003	648	503	657	498	1657	955	723	588	896
DNOV00012483	29	23	20	18	11	16	60	33	38	24	32
